1,100.00,90.00,2024-09-01,2024-09-30,5
2,200.00,, , ,8
3,150.50,130.00,2024-08-15,2024-09-15,12
4,250.75,200.00,2024-09-05,2024-10-05,3
5,80.00,, , ,9
6,120.00,100.00,2024-09-10,2024-09-25,7
7,300.00,270.00,2024-08-20,2024-09-20,11
8,50.00,, , ,2
9,90.00,80.00,2024-09-01,2024-09-30,6
10,60.00,, , ,1
11,220.00,200.00,2024-09-01,2024-10-01,10
12,110.00,100.00,2024-09-15,2024-10-15,4
13,175.00,,,,13
14,85.00,75.00,2024-09-10,2024-09-30,14
15,135.00,,,,15
16,95.00,85.00,2024-09-05,2024-09-25,17
17,145.00,125.00,2024-08-01,2024-09-01,18
18,70.00,, , ,19
19,220.00,200.00,2024-09-10,2024-10-10,20
20,300.00,275.00,2024-09-01,2024-09-30,16
